Rank,Name,Points,Game Time,Kills,Deaths,Kpd,Hs,Country
73,KoGaSenRx,"1,261",0d 00:43h,0,0,0.00,0,"Taiwan, Province of China"
74,Yaunoya,"1,257",0d 00:42h,3,6,0.50,1,China
75,Professor8000,"1,257",0d 01:11h,0,3,0.00,0,United States
76,MarkSmile,"1,246",0d 00:36h,0,0,0.00,0,Malaysia
77,NIICE,"1,235",0d 00:16h,11,10,1.10,4,Malaysia
78,ɘƝᚱᴀ9ɘȡ,"1,233",0d 00:34h,0,0,0.00,0,Singapore
79,缽缽雞,"1,231",0d 00:32h,0,1,0.00,0,"Taiwan, Province of China"
80,sea,"1,230",0d 00:29h,18,6,3.00,9,China
81,TiGeR mAN,"1,229",0d 00:15h,6,1,6.00,5,"Taiwan, Province of China"
82,tep,"1,228",0d 00:42h,19,48,0.40,5,Philippines
83,xx695691,"1,215",0d 00:36h,0,0,0.00,0,"Taiwan, Province of China"
84,little,"1,212",0d 01:38h,2,2,1.00,2,"Taiwan, Province of China"
85,DrHumanz,"1,211",0d 00:28h,0,0,0.00,0,Philippines
86,墨染锦年,"1,205",0d 00:19h,0,0,0.00,0,China
87,ConChim,"1,203",0d 00:21h,6,0,6.00,3,Singapore
88,amdg8887,"1,203",0d 00:29h,0,0,0.00,0,Philippines
89,無神由希,"1,200",0d 00:13h,10,5,2.00,6,"Taiwan, Province of China"
90,The Man in the desert,"1,194",0d 00:33h,3,6,0.50,3,Australia
91,奶公斤兩子有奶色粉頭,"1,193",0d 00:16h,0,0,0.00,0,"Taiwan, Province of China"
92,Idle-Empire Whxzzy!,"1,191",0d 00:36h,26,16,1.63,12,Malaysia
93,cliff,"1,190",0d 00:27h,0,0,0.00,0,"Taiwan, Province of China"
94,L trash,"1,186",0d 00:24h,29,12,2.42,7,Philippines
95,flowingwhitehairmatchstickman,"1,185",0d 00:20h,0,5,0.00,0,China
96,調皮兩兄弟,"1,183",0d 00:24h,0,0,0.00,0,"Taiwan, Province of China"
97,mingzurah,"1,183",0d 00:20h,0,0,0.00,0,Singapore
98,★Dx中隊★ 玩家丟出香蕉皮,"1,177",0d 00:23h,6,5,1.20,3,"Taiwan, Province of China"
99,supmilk,"1,177",0d 00:23h,0,0,0.00,0,Thailand
100,phantom幻影,"1,168",0d 00:08h,10,8,1.25,6,Malaysia
101,Unlimited,"1,162",0d 00:13h,11,5,2.20,3,Singapore
102,Noskinn0,"1,162",0d 00:24h,2,1,2.00,0,Philippines
103,相良宗介,"1,160",0d 00:38h,6,19,0.32,1,"Taiwan, Province of China"
104,CodeMDFK,"1,158",0d 00:16h,1,2,0.50,1,"Taiwan, Province of China"
105,cross炒菜,"1,158",0d 00:06h,0,0,0.00,0,China
106,K3V1NOGC,"1,157",0d 00:55h,8,31,0.26,3,"Taiwan, Province of China"
107,BOBO,"1,157",0d 00:47h,0,0,0.00,0,"Taiwan, Province of China"
108,yezi,"1,155",0d 00:33h,0,0,0.00,0,China
109,«§anctumKilla»,"1,152",0d 00:23h,0,0,0.00,0,Australia
110,闰土,"1,150",0d 00:17h,0,0,0.00,0,China
111,Ha,"1,148",0d 00:47h,18,20,0.90,10,China
112,歸投映幫幫,"1,145",0d 00:23h,0,5,0.00,0,"Taiwan, Province of China"
113,Scary Curtains,"1,144",0d 00:17h,0,0,0.00,0,Australia
114,B Lin,"1,141",0d 00:13h,0,0,0.00,0,Hong Kong
115,Đường Tam CS.PRO,"1,141",0d 00:12h,0,0,0.00,0,Viet Nam
116,ReemYBoi,"1,140",0d 00:06h,10,4,2.50,6,Australia
117,缘呐,"1,135",0d 00:28h,5,21,0.24,2,China
118,丷⑨丷,"1,135",0d 00:17h,0,0,0.00,0,China
119,北港六尺六,"1,135",0d 00:38h,0,3,0.00,0,"Taiwan, Province of China"
120,伟囝,"1,134",0d 00:49h,22,28,0.79,10,China
121,Skadoodle,"1,133",0d 00:17h,3,0,3.00,1,"Taiwan, Province of China"
122,songminchan,"1,132",0d 00:19h,1,9,0.11,1,"Korea, Republic of"
123,希文乐Killer,"1,131",0d 00:12h,9,4,2.25,5,China
124,mekoruma,"1,129",0d 00:15h,0,0,0.00,0,Philippines
125,Kazuma Kiryu,"1,128",0d 00:12h,11,2,5.50,6,Philippines
126,杀我别用感情刀,"1,128",0d 00:09h,4,1,4.00,3,China
127,京田室內裝修設計,"1,126",0d 00:22h,0,0,0.00,0,"Taiwan, Province of China"
128,Customer,"1,123",0d 00:30h,0,0,0.00,0,Hong Kong
129,Purple People Eater,"1,121",0d 00:13h,1,0,1.00,1,Australia
130,HuntNoob,"1,120",0d 00:18h,0,0,0.00,0,"Korea, Republic of"
131,柚子厨真恶心，Ciallo,"1,119",0d 00:12h,0,0,0.00,0,China
132,一個真正的Man,"1,119",0d 00:31h,0,0,0.00,0,"Taiwan, Province of China"
133,Phantasm,"1,117",0d 00:31h,7,2,3.50,5,"Taiwan, Province of China"
134,water700318,"1,117",0d 00:26h,0,0,0.00,0,"Taiwan, Province of China"
135,琳琳,"1,114",0d 00:05h,7,2,3.50,7,"Taiwan, Province of China"
136,dete404,"1,113",0d 00:34h,10,24,0.42,7,China
137,SpeProX,"1,109",0d 00:08h,7,7,1.00,5,Philippines
138,fpemxotn,"1,109",0d 00:20h,0,2,0.00,0,"Korea, Republic of"
139,nika,"1,108",0d 00:11h,0,0,0.00,0,Malaysia
140,Ryd3r92,"1,108",0d 00:07h,0,0,0.00,0,Australia
141,☺wl,"1,108",0d 00:11h,0,0,0.00,0,Singapore
142,YunHa1S,"1,106",0d 00:22h,18,20,0.90,0,China
143,Smith,"1,100",0d 00:07h,5,2,2.50,2,Macao
144,L36,"1,099",0d 00:08h,0,0,0.00,0,China
145,R3HaBABA,"1,097",0d 00:41h,15,17,0.88,7,China
146,T1nyZen,"1,095",0d 00:07h,4,7,0.57,3,Philippines
147,lordwinramirez1,"1,091",0d 00:11h,2,1,2.00,1,Philippines
148,Bùi Mạnh Vũ,"1,091",0d 00:09h,7,7,1.00,4,Viet Nam
149,Mrck,"1,091",0d 00:13h,0,0,0.00,0,China
150,Nigeru (Lj),"1,090",0d 00:10h,1,4,0.25,1,Philippines
151,2.5條悟,"1,090",0d 00:07h,0,0,0.00,0,"Taiwan, Province of China"
152,Symphony,"1,089",0d 00:08h,2,6,0.33,1,"Taiwan, Province of China"
153,Grand,"1,088",0d 00:16h,0,0,0.00,0,"Taiwan, Province of China"
154,反语,"1,087",0d 00:09h,7,0,7.00,5,"Taiwan, Province of China"
155,Gand0ver,"1,087",0d 00:10h,3,2,1.50,2,New Zealand
156,Fanmo,"1,087",0d 00:11h,0,0,0.00,0,"Taiwan, Province of China"
157,"SFC 楊過Yang Guo""Delta Force""","1,086",0d 00:34h,1,3,0.33,0,Malaysia
158,TV-纪,"1,085",0d 00:10h,7,8,0.88,1,China
159,大熊比較懶,"1,085",0d 00:11h,0,0,0.00,0,"Taiwan, Province of China"
160,RCA,"1,082",0d 00:17h,0,0,0.00,0,Australia
161,獵人™ 塵夢,"1,081",0d 00:24h,0,0,0.00,0,"Taiwan, Province of China"
162,做人好难瘦,"1,080",0d 00:09h,7,2,3.50,1,China
163,Dr.Ray,"1,079",0d 00:15h,0,3,0.00,0,India
164,neng wu,"1,077",0d 00:24h,9,15,0.60,3,China
165,Ooooooooooo,"1,076",0d 00:07h,0,0,0.00,0,China
166,chenp1wu,"1,075",0d 00:23h,13,7,1.86,7,China
167,JuanFuego,"1,075",0d 00:16h,5,10,0.50,3,Viet Nam
168,坤江,"1,075",0d 00:08h,0,0,0.00,0,China
169,hikaruichigo82,"1,075",0d 00:16h,0,0,0.00,0,United States
170,轻语言你,"1,072",0d 00:06h,3,5,0.60,0,China
171,passQmq,"1,072",0d 00:09h,0,0,0.00,0,China
172,Unconquerable:9,"1,072",0d 00:05h,0,0,0.00,0,"Korea, Republic of"
173,共享号,"1,071",0d 00:12h,1,2,0.50,1,China
174,Coceg_Ha_CTyJle,"1,070",0d 00:07h,0,0,0.00,0,Russian Federation
175,E Nang Nok ToR,"1,068",0d 00:08h,2,2,1.00,2,Thailand
176,CloseToTheSun,"1,068",0d 00:08h,0,0,0.00,0,Viet Nam
177,angel771013,"1,068",0d 00:12h,0,0,0.00,0,"Taiwan, Province of China"
178,Re.大古,"1,067",0d 00:18h,0,0,0.00,0,China
179,ZOVO,"1,067",0d 00:08h,0,0,0.00,0,China
180,POPO.FREEMAN GOR,"1,067",0d 00:08h,0,0,0.00,0,China
181,Azunai,"1,067",0d 00:09h,0,0,0.00,0,Philippines
182,evilsky67,"1,067",0d 00:20h,0,0,0.00,0,"Taiwan, Province of China"
183,silent,"1,067",0d 00:25h,0,0,0.00,0,Malaysia
184,LLuiDeFuness,"1,066",0d 00:07h,1,2,0.50,0,"Korea, Republic of"
185,1939585374,"1,066",0d 00:48h,5,18,0.28,0,China
186,Gooogle AI BOT # 258,"1,066",0d 00:05h,0,0,0.00,0,"Taiwan, Province of China"
187,阿岳,"1,066",0d 00:10h,0,0,0.00,0,"Taiwan, Province of China"
188,Fxxz?,"1,064",0d 00:05h,2,0,2.00,1,Malaysia
189,JAKE 1,"1,064",0d 00:23h,6,14,0.43,3,China
190,a4ss41,"1,063",0d 00:16h,0,0,0.00,0,China
191,KJ,"1,063",0d 00:08h,0,1,0.00,0,Viet Nam
192,물관이,"1,062",0d 00:04h,0,0,0.00,0,"Korea, Republic of"
193,r4y,"1,062",0d 00:05h,0,0,0.00,0,"Taiwan, Province of China"
194,1790157774,"1,062",0d 00:07h,0,0,0.00,0,China
195,Niko Niko,"1,061",0d 00:14h,6,1,6.00,4,Malaysia
196,Zilexos,"1,061",0d 00:05h,4,6,0.67,3,China
197,哪吒,"1,060",0d 00:11h,4,5,0.80,3,Viet Nam
198,Handy,"1,060",0d 00:09h,0,0,0.00,0,"Taiwan, Province of China"
199,cher,"1,060",0d 00:04h,0,0,0.00,0,Thailand
200,Drexofur,"1,059",0d 00:05h,3,0,3.00,2,Philippines
201,JM_Joker2929,"1,057",0d 00:11h,0,0,0.00,0,Malaysia
202,ultraz,"1,056",0d 00:07h,0,0,0.00,0,Malaysia
203,mika,"1,056",0d 00:11h,0,0,0.00,0,Indonesia
204,AkiyamaNeko_秋山貓,"1,055",0d 00:04h,0,0,0.00,0,"Taiwan, Province of China"
205,GIG4BYT3,"1,055",0d 00:08h,0,0,0.00,0,Singapore
206,linxyzc,"1,055",0d 00:05h,0,0,0.00,0,Singapore
207,Reai,"1,054",0d 00:08h,3,8,0.38,1,"Taiwan, Province of China"
208,JohnNguyen,"1,052",0d 00:04h,2,3,0.67,2,Viet Nam
209,Bot josh,"1,051",0d 00:03h,0,0,0.00,0,Thailand
210,AKA撿牌怪,"1,051",0d 00:05h,0,0,0.00,0,"Taiwan, Province of China"
211,人脑玩家苍蝇头,"1,050",0d 00:10h,6,14,0.43,2,China
212,418,"1,050",0d 00:13h,0,0,0.00,0,"Taiwan, Province of China"
213,yoda,"1,050",0d 00:05h,0,0,0.00,0,Singapore
214,shiro_soft,"1,048",0d 00:07h,3,7,0.43,2,China
215,Sandjeshuko,"1,048",0d 00:06h,5,12,0.42,1,Hong Kong
216,Saul_Malone,"1,047",0d 00:32h,0,0,0.00,0,Australia
217,[я-ιη¢.] Crippy,"1,047",0d 00:04h,0,0,0.00,0,Viet Nam
218,L3GATU5,"1,045",0d 00:08h,0,0,0.00,0,Australia
219,Waltuh,"1,045",0d 00:05h,0,0,0.00,0,Malaysia
220,Le Nam,"1,044",0d 00:10h,5,7,0.71,3,Viet Nam
221,⚡新店敢硬,"1,043",0d 00:02h,6,6,1.00,2,"Taiwan, Province of China"
222,〆皮々豬〆,"1,043",0d 00:08h,0,0,0.00,0,"Taiwan, Province of China"
223,ziplooc squidgee,"1,043",0d 00:06h,0,0,0.00,0,Australia
224,Lee,"1,042",0d 00:10h,6,10,0.60,0,Unknown
225,Moonki,"1,042",0d 00:02h,0,0,0.00,0,Indonesia
226,я гантрап,"1,042",0d 00:04h,0,0,0.00,0,Russian Federation
227,bobochan,"1,042",0d 00:03h,0,0,0.00,0,Singapore
228,fky-886,"1,041",0d 00:05h,7,2,3.50,1,China
229,實力至上主義的教室 第,"1,041",0d 00:04h,4,6,0.67,1,"Taiwan, Province of China"
230,ぽたと,"1,041",0d 00:11h,2,7,0.29,1,"Taiwan, Province of China"
231,-=dx=- 7,"1,041",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
232,看見黑影就開槍,"1,041",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
233,☆(☢Odiภ☢)☆,"1,037",0d 00:05h,2,4,0.50,0,Russian Federation
234,如是天光破云,"1,037",0d 00:03h,0,0,0.00,0,China
235,雾尔.,"1,037",0d 00:04h,0,1,0.00,0,United States
236,nuu_pokung,"1,036",0d 01:01h,0,0,0.00,0,"Taiwan, Province of China"
237,ZapHavenly,"1,036",0d 00:06h,0,0,0.00,0,China
238,gamgyul❧,"1,036",0d 00:02h,0,0,0.00,0,"Korea, Republic of"
239,鐘鐘,"1,035",0d 00:34h,6,10,0.60,0,"Taiwan, Province of China"
240,48BqiangB,"1,034",0d 00:03h,4,5,0.80,2,China
241,Alex,"1,033",0d 00:03h,3,0,3.00,1,"Taiwan, Province of China"
242,꧁♛࿇MR.DΔMMZZYY࿇♛꧂,"1,033",0d 00:07h,0,0,0.00,0,Philippines
243,宇智波带土[忍界大战],"1,033",0d 00:06h,0,0,0.00,0,China
244,小殺手,"1,032",0d 00:12h,2,6,0.33,1,"Taiwan, Province of China"
245,milky,"1,032",0d 00:04h,0,0,0.00,0,Guam
246,3495535609,"1,031",0d 00:11h,0,0,0.00,0,China
247,엄준서,"1,031",0d 00:06h,0,0,0.00,0,"Korea, Republic of"
248,1234567 ABCDEFG,"1,031",0d 00:02h,0,0,0.00,0,China
249,keyofo,"1,031",0d 00:30h,0,0,0.00,0,Japan
250,pingu1239,"1,030",0d 00:02h,2,1,2.00,1,Malaysia
251,\Good man Sola/,"1,030",0d 00:04h,0,0,0.00,0,"Taiwan, Province of China"
252,CEO OF RIZZ,"1,030",0d 00:11h,0,0,0.00,0,Philippines
253,WYB8410,"1,030",0d 00:03h,0,0,0.00,0,Malaysia
254,Bogdan879,"1,030",0d 00:05h,0,0,0.00,0,Ukraine
255,ashie,"1,029",0d 00:08h,7,5,1.40,5,Philippines
256,Pro100kvit,"1,028",0d 00:04h,3,4,0.75,1,Russian Federation
257,MK18 SOBR Parts,"1,028",0d 00:03h,0,0,0.00,0,Philippines
258,ehsif el,"1,027",0d 00:06h,0,0,0.00,0,Indonesia
259,一云清白,"1,027",0d 00:02h,0,0,0.00,0,China
260,T4kesh1,"1,027",0d 00:13h,0,0,0.00,0,Thailand
261,Abyss.,"1,026",0d 00:06h,1,3,0.33,0,Philippines
262,zzz,"1,026",0d 00:19h,1,3,0.33,0,"Taiwan, Province of China"
263,The GhoST,"1,026",0d 00:05h,0,0,0.00,0,China
264,ilyas.davit001,"1,026",0d 00:03h,0,0,0.00,0,Indonesia
265,QueenAmaa,"1,026",0d 00:02h,0,0,0.00,0,Indonesia
266,kanahds2,"1,026",0d 00:10h,0,0,0.00,0,Thailand
267,youshunei,"1,025",0d 00:06h,4,10,0.40,0,Viet Nam
268,ty,"1,025",0d 00:03h,0,0,0.00,0,China
269,DharmaMahardika,"1,025",0d 00:03h,0,0,0.00,0,Indonesia
270,darawandao,"1,025",0d 00:17h,0,0,0.00,0,"Taiwan, Province of China"
271,iel,"1,024",0d 00:01h,2,1,2.00,1,"Taiwan, Province of China"
272,Des,"1,024",0d 00:08h,6,5,1.20,0,Singapore
273,Username_Input,"1,024",0d 00:06h,2,3,0.67,0,Hong Kong
274,Ciallo～(∠・ω< )⌒☆,"1,023",0d 00:02h,3,1,3.00,1,China
275,HUNKs,"1,023",0d 00:03h,1,1,1.00,0,Philippines
276,盖亚卢本伟,"1,023",0d 00:11h,1,4,0.25,0,China
277,Hewgo,"1,022",0d 00:17h,2,5,0.40,1,Indonesia
278,Worschthaut,"1,022",0d 00:07h,2,7,0.29,1,China
279,辉雨,"1,022",0d 00:10h,2,13,0.15,0,Hong Kong
280,觀察系玩家,"1,022",0d 00:10h,0,0,0.00,0,"Taiwan, Province of China"
281,azharkautsar22,"1,022",0d 00:06h,0,0,0.00,0,Indonesia
282,两条毛腿肩上扛,"1,021",0d 00:02h,0,0,0.00,0,Hong Kong
283,「黄刮」,"1,021",0d 00:03h,0,0,0.00,0,China
284,BeElze野兔,"1,021",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
285,Felix,"1,021",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
286,沙2第一帅,"1,021",0d 00:02h,0,0,0.00,0,Hong Kong
287,squadfield,"1,020",0d 00:02h,0,0,0.00,0,Indonesia
288,Kan（カン）,"1,020",0d 00:06h,0,0,0.00,0,Viet Nam
289,痛苦达摩,"1,020",0d 00:02h,0,0,0.00,0,China
290,队长别开枪！是我！,"1,020",0d 00:02h,0,0,0.00,0,Hong Kong
291,Juan Pablo Montoya,"1,018",0d 00:08h,1,12,0.08,0,China
292,Nodrog,"1,018",0d 00:05h,0,1,0.00,0,Australia
293,哑聋瞎瘸 小屁孩,"1,017",0d 00:01h,3,1,3.00,0,China
294,de-nik,"1,017",0d 00:10h,1,4,0.25,0,Russian Federation
295,名声,"1,017",0d 00:02h,0,0,0.00,0,China
296,Bjornnn97,"1,017",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
297,masterplanet505,"1,017",0d 00:02h,0,0,0.00,0,Thailand
298,𝕿𝖆𝖓♧,"1,017",0d 00:10h,0,0,0.00,0,Thailand
299,Janda Hunter,"1,016",0d 00:05h,0,0,0.00,0,Malaysia
300,柠檬派第一勇猛机枪兵,"1,016",0d 00:02h,0,0,0.00,0,China
301,Pwenias,"1,016",0d 00:03h,0,0,0.00,0,Australia
302,BOSS,"1,016",0d 00:11h,0,1,0.00,0,"Taiwan, Province of China"
303,jolyne?,"1,016",0d 00:08h,0,3,0.00,0,Viet Nam
304,Dante,"1,016",0d 00:03h,0,0,0.00,0,Russian Federation
305,NoUsE/AlaC,"1,016",0d 00:02h,0,0,0.00,0,Australia
306,DONEDAVE,"1,016",0d 00:02h,0,0,0.00,0,China
307,SIope,"1,015",0d 00:05h,2,3,0.67,1,United States
308,五府堂/十三少保,"1,015",0d 00:04h,2,5,0.40,0,China
309,咸湿保姆贱婴儿丶,"1,015",0d 00:02h,0,0,0.00,0,China
310,solar,"1,015",0d 00:02h,0,0,0.00,0,New Zealand
311,B站饼干ya,"1,015",0d 00:04h,0,0,0.00,0,China
312,Fr0g☂,"1,015",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
313,abdeereds,"1,015",0d 00:19h,0,0,0.00,0,Indonesia
314,kygo,"1,015",0d 00:03h,0,0,0.00,0,China
315,1635673895,"1,015",0d 00:09h,0,0,0.00,0,China
316,SL1WA_MARL0W,"1,015",0d 00:05h,0,0,0.00,0,"Korea, Republic of"
317,SempakKobra,"1,015",0d 00:05h,0,0,0.00,0,Indonesia
318,RZK,"1,015",0d 00:03h,0,0,0.00,0,Indonesia
319,雪乃的白子,"1,015",0d 00:01h,0,0,0.00,0,China
320,Cheesemasher,"1,015",0d 00:05h,0,0,0.00,0,"Taiwan, Province of China"
321,窝瓜,"1,015",0d 00:02h,0,0,0.00,0,China
322,MR.sins,"1,015",0d 00:05h,0,0,0.00,0,Unknown
323,翔,"1,015",0d 00:03h,0,0,0.00,0,China
324,sage652124,"1,015",0d 00:06h,0,0,0.00,0,China
325,AndersonLiu,"1,015",0d 00:04h,0,0,0.00,0,"Taiwan, Province of China"
326,-=Dx=- ✪Master→βation✪,"1,014",0d 00:09h,3,10,0.30,1,"Taiwan, Province of China"
327,Tanaton,"1,013",0d 00:03h,2,5,0.40,1,Thailand
328,barrsan,"1,013",0d 00:03h,0,1,0.00,0,Singapore
329,pp456,"1,013",0d 00:15h,0,3,0.00,0,China
330,ljames110110,"1,012",0d 00:10h,0,0,0.00,0,Australia
331,ron12,"1,011",0d 00:02h,0,0,0.00,0,Philippines
332,Doodles ♛,"1,010",0d 00:02h,2,1,2.00,0,New Zealand
333,Arale,"1,010",0d 00:02h,1,0,1.00,0,"Taiwan, Province of China"
334,fREEZIN,"1,010",0d 00:04h,1,0,1.00,0,Saudi Arabia
335,Syazwan_1,"1,009",0d 01:10h,10,9,1.11,7,Malaysia
336,illil,"1,009",0d 00:00h,1,1,1.00,1,China
337,苏坡满,"1,008",0d 00:04h,1,1,1.00,1,China
338,Mathsniper,"1,008",0d 00:04h,1,1,1.00,1,Macao
339,asdf123,"1,008",0d 00:05h,0,4,0.00,0,China
340,喇嚨,"1,007",0d 00:25h,2,5,0.40,0,"Taiwan, Province of China"
341,飒飒,"1,006",0d 00:02h,2,3,0.67,2,China
342,LV.1,"1,006",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
343,龙诚^^,"1,006",0d 00:02h,0,0,0.00,0,China
344,aaay,"1,006",0d 00:04h,0,0,0.00,0,China
345,KarriGan,"1,006",0d 00:01h,0,0,0.00,0,China
346,Timmu Somjoy,"1,006",0d 00:04h,0,0,0.00,0,Thailand
347,lgb1305936,"1,006",0d 00:06h,0,0,0.00,0,China
348,（。人。）ლ（´∀`ლ,"1,005",0d 00:02h,1,0,1.00,1,"Taiwan, Province of China"
349,Yuzu,"1,005",0d 00:03h,1,3,0.33,0,Philippines
350,fengzhigu,"1,005",0d 00:02h,0,0,0.00,0,China
351,mailman,"1,005",0d 00:04h,0,0,0.00,0,Philippines
352,MANILAJAY,"1,005",0d 00:03h,0,0,0.00,0,Philippines
353,かすがのそら,"1,005",0d 00:04h,0,1,0.00,0,China
354,Yoreii,"1,005",0d 00:02h,0,0,0.00,0,China
355,Blydogidogg,"1,005",0d 00:02h,0,1,0.00,0,Philippines
